Season,PlayerID,PlayerName,Team,GamesPlayed,AtBats,Runs,Hits,HomeRuns,RBIs,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS
2001,119913,Alex Ochoa,Colorado Rockies,148.0,536.0,73.0,148,8,52,17,45,76,0.276,0.334,0.403,0.737
2005,425567,Alex Rios,Toronto Blue Jays,146.0,481.0,71.0,126,10,59,14,28,101,0.262,0.306,0.397,0.703
2007,425567,Alex Rios,Toronto Blue Jays,161.0,643.0,114.0,191,24,85,17,55,103,0.297,0.354,0.498,0.852
2008,425567,Alex Rios,Toronto Blue Jays,155.0,635.0,91.0,185,15,79,32,44,112,0.291,0.337,0.461,0.798
2009,425567,Alex Rios,Chicago White Sox,149.0,582.0,63.0,144,17,71,24,37,107,0.247,0.296,0.395,0.691
2010,425567,Alex Rios,Chicago White Sox,147.0,567.0,89.0,161,21,88,34,38,93,0.284,0.334,0.457,0.791
2011,425567,Alex Rios,Chicago White Sox,145.0,537.0,64.0,122,13,44,11,27,68,0.227,0.265,0.348,0.613
2012,425567,Alex Rios,Chicago White Sox,157.0,605.0,93.0,184,25,91,23,26,92,0.304,0.334,0.516,0.85
2013,425567,Alex Rios,Texas Rangers,156.0,616.0,83.0,171,18,81,42,41,108,0.278,0.324,0.432,0.756
2014,425567,Alex Rios,Texas Rangers,131.0,492.0,54.0,138,4,54,17,23,93,0.28,0.311,0.398,0.709
2000,121347,Alex Rodriguez,Seattle Mariners,148.0,554.0,134.0,175,41,132,15,100,121,0.316,0.42,0.606,1.026
2001,121347,Alex Rodriguez,Texas Rangers,162.0,632.0,133.0,201,52,135,18,75,131,0.318,0.399,0.622,1.021
2002,121347,Alex Rodriguez,Texas Rangers,162.0,624.0,125.0,187,57,142,9,87,122,0.3,0.392,0.623,1.015
2003,121347,Alex Rodriguez,Texas Rangers,161.0,607.0,124.0,181,47,118,17,87,126,0.298,0.396,0.6,0.996
2004,121347,Alex Rodriguez,New York Yankees,155.0,601.0,112.0,172,36,106,28,80,131,0.286,0.375,0.512,0.887
2005,121347,Alex Rodriguez,New York Yankees,162.0,605.0,124.0,194,48,130,21,91,139,0.321,0.421,0.61,1.031
2006,121347,Alex Rodriguez,New York Yankees,154.0,572.0,113.0,166,35,121,15,90,139,0.29,0.392,0.523,0.915
2007,121347,Alex Rodriguez,New York Yankees,158.0,583.0,143.0,183,54,156,24,95,120,0.314,0.422,0.645,1.067
2008,121347,Alex Rodriguez,New York Yankees,138.0,510.0,104.0,154,35,103,18,65,117,0.302,0.392,0.573,0.965
2009,121347,Alex Rodriguez,New York Yankees,124.0,444.0,78.0,127,30,100,14,80,97,0.286,0.402,0.532,0.934
2010,121347,Alex Rodriguez,New York Yankees,137.0,522.0,74.0,141,30,125,4,59,98,0.27,0.341,0.506,0.847
2012,121347,Alex Rodriguez,New York Yankees,122.0,463.0,74.0,126,18,57,13,51,116,0.272,0.353,0.43,0.783
2015,121347,Alex Rodriguez,New York Yankees,151.0,523.0,83.0,131,33,86,4,84,145,0.25,0.356,0.486,0.842
2020,657077,Alex Verdugo,Boston Red Sox,53.0,201.0,36.0,62,6,15,4,17,45,0.308,0.367,0.478,0.845
2021,657077,Alex Verdugo,Boston Red Sox,146.0,544.0,88.0,157,13,63,6,51,96,0.289,0.351,0.426,0.777
2022,657077,Alex Verdugo,Boston Red Sox,152.0,593.0,75.0,166,11,74,1,42,86,0.28,0.328,0.405,0.733
2023,657077,Alex Verdugo,Boston Red Sox,142.0,546.0,81.0,144,13,54,5,45,93,0.264,0.324,0.421,0.745
2024,17027,Alex Verdugo,NYY,,,,130,13,61,2,49,93,0.233,0.291,0.356,0.647
2025,17027,Alex Verdugo,ATL,,,,30,0,10,1,9,12,0.261,0.32,0.33,0.65
2025,22842,Alexander Canario,PIT,,,,18,3,7,0,7,26,0.207,0.266,0.345,0.611
2008,493351,Alexei Ramirez,Chicago White Sox,136.0,480.0,65.0,139,21,77,13,18,61,0.29,0.317,0.475,0.792
2009,493351,Alexei Ramirez,Chicago White Sox,148.0,542.0,71.0,150,15,68,14,49,66,0.277,0.333,0.389,0.722
2010,493351,Alexei Ramirez,Chicago White Sox,156.0,585.0,83.0,165,18,70,13,27,82,0.282,0.313,0.431,0.744
2011,493351,Alexei Ramirez,Chicago White Sox,158.0,614.0,81.0,165,15,70,7,51,84,0.269,0.328,0.399,0.727
2012,493351,Alexei Ramirez,Chicago White Sox,158.0,593.0,59.0,157,9,73,20,16,77,0.265,0.287,0.364,0.651
2013,493351,Alexei Ramirez,Chicago White Sox,158.0,637.0,68.0,181,6,48,30,26,68,0.284,0.313,0.38,0.693
2014,493351,Alexei Ramirez,Chicago White Sox,158.0,622.0,82.0,170,15,74,21,24,81,0.273,0.305,0.408,0.713
2015,493351,Alexei Ramirez,Chicago White Sox,154.0,583.0,54.0,145,10,62,17,31,68,0.249,0.285,0.357,0.642
2001,150093,Alfonso Soriano,New York Yankees,158.0,574.0,77.0,154,18,73,43,29,125,0.268,0.304,0.432,0.736
