season,numTeams,rank,stat_gamesPlayed,stat_groundOuts,stat_airOuts,stat_runs,stat_doubles,stat_triples,stat_homeRuns,stat_strikeOuts,stat_baseOnBalls,stat_intentionalWalks,stat_hits,stat_hitByPitch,stat_avg,stat_atBats,stat_obp,stat_slg,stat_ops,stat_caughtStealing,stat_stolenBases,stat_stolenBasePercentage,stat_groundIntoDoublePlay,stat_numberOfPitches,stat_plateAppearances,stat_totalBases,stat_rbi,stat_leftOnBase,stat_sacBunts,stat_sacFlies,stat_babip,stat_groundOutsToAirouts,stat_catchersInterference,stat_atBatsPerHomeRun,team_id,team_name,team_link,player_id,player_fullName,player_link,player_firstName,player_lastName,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation
2022,1,41,134,152,129,60,28,1,17,96,31,0,138,9,.271,510,.321,.429,.750,0,0,.---,13,2087,555,219,76,189,0,5,.301,1.18,0,30.00,145,Chicago White Sox,/api/v1/teams/145,683734,Andrew Vaughn,/api/v1/people/683734,Andrew,Vaughn,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,9,Outfielder,Outfielder,RF
2022,1,42,158,148,125,72,42,2,17,149,58,4,155,6,.271,573,.342,.440,.782,4,9,.692,11,2572,641,252,72,261,0,4,.336,1.18,0,33.71,112,Chicago Cubs,/api/v1/teams/112,664023,Ian Happ,/api/v1/people/664023,Ian,Happ,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,7,Outfielder,Outfielder,LF
2022,1,43,161,157,177,98,25,5,26,133,59,2,170,10,.270,630,.339,.449,.788,6,16,.727,11,2829,706,283,107,293,0,7,.301,0.89,0,24.23,121,New York Mets,/api/v1/teams/121,596019,Francisco Lindor,/api/v1/people/596019,Francisco,Lindor,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS
2022,1,44,142,127,191,117,40,3,35,104,55,0,154,8,.269,572,.340,.533,.873,2,12,.857,8,2428,639,305,82,198,0,4,.272,0.66,0,16.34,119,Los Angeles Dodgers,/api/v1/teams/119,605141,Mookie Betts,/api/v1/people/605141,Mookie,Betts,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,9,Outfielder,Outfielder,RF
2022,1,45,125,115,121,66,25,1,9,98,55,2,119,2,.269,443,.349,.391,.740,3,23,.885,7,2033,510,173,56,156,5,5,.323,0.95,0,49.22,109,Arizona Diamondbacks,/api/v1/teams/109,668942,Josh Rojas,/api/v1/people/668942,Josh,Rojas,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B
2022,1,46,133,144,137,89,22,4,25,100,54,1,137,7,.267,513,.342,.472,.814,2,14,.875,7,2175,583,242,76,190,0,5,.285,1.05,4,20.52,141,Toronto Blue Jays,/api/v1/teams/141,543807,George Springer,/api/v1/people/543807,George,Springer,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,8,Outfielder,Outfielder,CF
2022,1,47,131,115,99,71,35,1,25,152,34,0,133,2,.267,499,.316,.491,.807,3,6,.667,18,2082,535,245,77,226,0,0,.335,1.16,0,19.96,141,Toronto Blue Jays,/api/v1/teams/141,606192,Teoscar Hernández,/api/v1/people/606192,Teoscar,Hernández,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,9,Outfielder,Outfielder,RF
2022,2,48,156,178,131,78,29,3,17,102,81,4,147,5,.266,552,.362,.422,.784,1,0,.000,22,2505,647,233,71,266,0,6,.296,1.36,3,32.47,135,San Diego Padres,/api/v1/teams/135,605137,Josh Bell,/api/v1/people/605137,Josh,Bell,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,10,Designated Hitter,Hitter,DH
2022,1,49,140,123,123,71,24,0,13,97,48,1,123,28,.266,462,.367,.403,.770,1,3,.750,3,2218,542,186,61,218,0,4,.309,1.00,0,35.54,121,New York Mets,/api/v1/teams/121,592192,Mark Canha,/api/v1/people/592192,Mark,Canha,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,7,Outfielder,Outfielder,LF
2022,1,50,137,167,124,72,30,3,13,101,46,0,140,3,.266,527,.325,.408,.733,0,0,.---,25,2112,581,215,63,242,0,5,.304,1.35,0,40.54,115,Colorado Rockies,/api/v1/teams/115,663898,Brendan Rodgers,/api/v1/people/663898,Brendan,Rodgers,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B
